Inference Latency (ms),Prediction,Input Text,Timestamp
42.67,NEGATIVE,What puts you in a terrible mood,2025-03-11T09:59:48.124090
41.99,NEGATIVE,Its something as non essential,2025-03-11T09:59:48.189994
35.82,NEGATIVE,Actually a horrible explanation,2025-03-11T09:59:48.251097
30.35,NEGATIVE,Felt like the inside of my head,2025-03-11T09:59:48.304419
31.29,NEGATIVE,World of non stop news most of it bad,2025-03-11T09:59:48.359610
29.44,NEGATIVE,How is a person like me,2025-03-11T09:59:48.412350
26.56,NEGATIVE,Trouble understanding everything,2025-03-11T09:59:48.462830
27.30,NEGATIVE,Bad acting,2025-03-11T09:59:48.513257
27.32,NEGATIVE,Dumb ending,2025-03-11T09:59:48.565009
28.06,NEGATIVE,Terribly made,2025-03-11T09:59:48.619556
48.20,NEGATIVE,Not even worth a watch,2025-03-11T09:59:48.694560
37.93,NEGATIVE,Nothing explained,2025-03-11T09:59:48.759241
35.35,NEGATIVE,Pointless journey,2025-03-11T09:59:48.818451
37.12,NEGATIVE,Missed the point so bad,2025-03-11T09:59:48.883765
42.80,NEGATIVE,Almost admirable how bad,2025-03-11T09:59:48.953417
31.89,POSITIVE,Terrible reviews but you enjoy anyway,2025-03-11T09:59:49.010499
33.18,POSITIVE,I absolutely promise not to waste your time,2025-03-11T09:59:49.067229
37.15,POSITIVE,Piece them together with commentary,2025-03-11T09:59:49.128397
30.14,POSITIVE,Make my full reviews here on Medium,2025-03-11T09:59:49.181524
28.13,NEGATIVE,Before they go anywhere else,2025-03-11T09:59:49.233814
29.70,POSITIVE,Enjoyed every minute,2025-03-11T09:59:49.286331
31.95,POSITIVE,Exceeded my expectations,2025-03-11T09:59:49.342736
41.12,POSITIVE,Incredibly friendly and helpful staff,2025-03-11T09:59:49.407028
38.50,POSITIVE,Highly recommend it to everyone,2025-03-11T09:59:49.470694
29.37,POSITIVE,Truly wonderful experience,2025-03-11T09:59:49.524000
30.85,POSITIVE,Extremely satisfied with my purchase,2025-03-11T09:59:49.579145
29.10,POSITIVE,Great value for money,2025-03-11T09:59:49.634083
26.29,POSITIVE,Definitely be returning,2025-03-11T09:59:49.684359
28.38,POSITIVE,Top notch overall experience,2025-03-11T09:59:49.735885
26.88,POSITIVE,Truly exceptional work,2025-03-11T09:59:49.786200
34.10,NEGATIVE,Regretted wasting my time watching it,2025-03-11T09:59:49.843563
41.67,POSITIVE,Far below my expectations,2025-03-11T09:59:49.913050
41.60,NEGATIVE,Awful food rude staff,2025-03-11T09:59:49.979847
38.10,NEGATIVE,Terrible experience all around,2025-03-11T09:59:50.042015
27.15,NEGATIVE,Complete waste of money,2025-03-11T09:59:50.093132
35.48,NEGATIVE,Do not buy it,2025-03-11T09:59:50.151475
26.57,NEGATIVE,Extremely poor quality,2025-03-11T09:59:50.201941
29.15,NEGATIVE,Disaster from beginning to end,2025-03-11T09:59:50.254332
36.11,NEGATIVE,Awful and frustrating,2025-03-11T09:59:50.315063
41.22,NEGATIVE,Extremely dissatisfied,2025-03-11T09:59:50.380425
40.15,NEGATIVE,Never purchase again,2025-03-11T09:59:50.445111
36.44,NEGATIVE,Terrible quality outrageous price,2025-03-11T09:59:50.506016
26.98,NEGATIVE,No value for money,2025-03-11T09:59:50.556726
28.16,NEGATIVE,Strongly advise everyone to avoid,2025-03-11T09:59:50.607598
28.77,NEGATIVE,Unpleasant atmosphere,2025-03-11T09:59:50.659833
38.79,NEGATIVE,Incredibly disappointing experience,2025-03-11T09:59:50.721907
36.76,NEGATIVE,Completely unacceptable work,2025-03-11T09:59:50.783441
43.01,NEGATIVE,Unprofessional result,2025-03-11T09:59:50.852206
52.45,NEGATIVE,While the visuals were stunning the story just didnt grab me at all,2025-03-11T09:59:50.929547
60.09,NEGATIVE,I wanted to love this film but it ended up being quite a letdown in the end,2025-03-11T09:59:51.015862
39.45,NEGATIVE,Despite the hype I found it to be rather mediocre and forgettable to be honest,2025-03-11T09:59:51.078377
38.41,NEGATIVE,The plot was all over the place and the characters felt very underdeveloped,2025-03-11T09:59:51.144830
38.83,NEGATIVE,I went in with high expectations but left feeling utterly disappointed and bored,2025-03-11T09:59:51.207253
46.38,NEGATIVE,Honestly I struggled to stay awake through most of it it was that dull,2025-03-11T09:59:51.279295
51.65,NEGATIVE,The acting was wooden and the dialogue was incredibly cliched and predictable,2025-03-11T09:59:51.355775
55.22,NEGATIVE,I wouldnt recommend this movie to anyone unless you are looking for something to put you to sleep,2025-03-11T09:59:51.436105
48.92,NEGATIVE,A complete waste of time and money I wish I had chosen to watch something else,2025-03-11T09:59:51.510973
43.79,POSITIVE,If you are considering watching this just dont You will thank me later for saving you the trouble,2025-03-11T09:59:51.577860
34.42,NEGATIVE,It had its moments but overall it was just okay nothing special,2025-03-11T09:59:51.637839
47.93,NEGATIVE,Parts of it were good but other parts were quite confusing and dragged on,2025-03-11T09:59:51.712619
38.74,NEGATIVE,I can see why some people liked it but it wasnt really my cup of tea,2025-03-11T09:59:51.775068
42.75,NEGATIVE,Its not the worst movie Ive seen but definitely not the best either somewhere in the middle,2025-03-11T09:59:51.843094
34.71,NEGATIVE,There were some interesting ideas but the execution was lacking and inconsistent,2025-03-11T09:59:51.905248
43.20,NEGATIVE,It had potential but it didnt quite live up to it which is a shame,2025-03-11T09:59:51.972548
35.25,POSITIVE,Its a mixed bag some good aspects some not so good ultimately average,2025-03-11T09:59:52.035034
43.19,POSITIVE,Not terrible but not great either just a very okay movie if you have nothing else to watch,2025-03-11T09:59:52.101586
50.50,NEGATIVE,Its watchable but dont expect to be blown away or remember it for very long,2025-03-11T09:59:52.177632
40.33,NEGATIVE,If you are really bored maybe give it a try otherwise you are not missing much really,2025-03-11T09:59:52.241623
31.71,NEGATIVE,The movie just left me feeling empty you know,2025-03-11T09:59:52.296256
36.31,NEGATIVE,Honestly I was expecting so much more from this film,2025-03-11T09:59:52.355741
40.62,NEGATIVE,What a waste of a perfectly good evening seriously,2025-03-11T09:59:52.419857
41.17,NEGATIVE,I am still trying to figure out what the point of this movie even was,2025-03-11T09:59:52.484137
37.76,NEGATIVE,If I could get those two hours of my life back I would in a heartbeat,2025-03-11T09:59:52.546192
49.78,NEGATIVE,Seriously dont believe the hype its really not worth it trust me,2025-03-11T09:59:52.619924
41.27,NEGATIVE,I am actually kind of annoyed that I spent money on this to be honest,2025-03-11T09:59:52.687286
44.94,NEGATIVE,They really dropped the ball with this one what a disappointment truly,2025-03-11T09:59:52.759456
49.70,NEGATIVE,My expectations were low and somehow it still managed to disappoint me impressive,2025-03-11T09:59:52.833918
59.50,NEGATIVE,I am not even sure how this movie got made it was just so bad on so many levels wow,2025-03-11T09:59:52.918547
